code,code_name,ipoDate,outDate,type,status
of.159001,易方达保证金货币A,2013-03-29,,5,1
of.159003,招商保证金快线A,2013-05-17,,5,1
of.159005,汇添富收益快钱货币A,2014-12-23,,5,1
of.159150,易方达深证50ETF,2023-11-29,,5,1
of.159201,华夏国证自由现金流ETF,2025-02-19,,5,1
of.159206,永赢国证商用卫星ETF,2025-03-06,,5,1
of.159207,广发中证智选高股息策略ETF,2025-03-27,,5,1
of.159209,招商中证全指红利质量ETF,2025-03-12,,5,1
of.159212,南方深证100ETF,2025-03-27,,5,1
of.159215,平安中证A500ETF,2025-03-26,,5,1
of.159217,工银国证港股通创新药ETF,2025-03-26,,5,1
of.159300,富国沪深300ETF,2024-05-23,,5,1
of.159301,华夏中证全指公用事业ETF,2024-07-10,,5,1
of.159302,银华中证港股高股息ETF,2024-08-23,,5,1
of.159303,大成恒生医疗保健ETF(QDII),2024-06-18,,5,1
of.159305,广发国证新能源电池ETF,2024-09-18,,5,1
of.159306,平安中证汽车零部件主题ETF,2024-04-29,,5,1
of.159307,博时中证红利低波100ETF,2024-04-16,,5,1
of.159309,汇添富中证油气资源ETF,2024-05-31,,5,1
of.159310,天弘中证芯片产业ETF,2024-04-18,,5,1
of.159312,广发恒指港股通ETF,2024-10-24,,5,1
of.159315,工银瑞信中证沪深港黄金产业股票ETF,2024-05-30,,5,1
of.159316,易方达恒生港股通创新药ETF,2025-03-18,,5,1
of.159318,银华恒指港股通ETF,2024-06-13,,5,1
of.159320,广发恒生A股电网设备ETF,2024-12-12,,5,1
of.159321,华安中证沪深港黄金产业股票ETF,2024-05-09,,5,1
of.159322,平安中证沪深港黄金产业ETF,2024-06-05,,5,1
of.159323,华夏中证港股通汽车产业主题ETF,2024-12-30,,5,1
of.159325,南方中证半导体行业精选ETF,2024-10-31,,5,1
of.159326,华夏中证电网设备主题ETF,2024-08-29,,5,1
of.159327,万家中证半导体材料设备主题ETF,2024-07-24,,5,1
of.159328,易方达中证家电龙头ETF,2024-11-07,,5,1
of.159329,南方基金南方东英沙特阿拉伯ETF(QDII),2024-07-05,,5,1
of.159330,东财沪深300ETF,2024-08-01,,5,1
of.159331,国泰中证港股通高股息投资ETF,2024-07-23,,5,1
of.159332,富国中证中央企业红利ETF,2024-07-16,,5,1
of.159333,万家中证港股通央企红利ETF,2024-08-21,,5,1
of.159335,融通中证诚通央企科技创新ETF,2024-08-22,,5,1
of.159336,融通中证诚通央企红利ETF,2025-01-22,,5,1
of.159337,中证500ETF基金,2024-09-02,,5,1
of.159338,国泰中证A500ETF,2024-09-26,,5,1
of.159339,银华中证A500ETF,2024-09-26,,5,1
of.159350,富国深证50ETF,2023-11-30,,5,1
of.159351,嘉实中证A500ETF,2024-09-20,,5,1
of.159352,南方中证A500ETF,2024-09-25,,5,1
of.159353,景顺长城中证A500ETF,2024-09-24,,5,1
of.159355,华宝中证800红利低波动ETF,2024-11-25,,5,1
of.159356,万家中证A500ETF,2024-11-22,,5,1
of.159357,博时中证A500ETF,2024-11-21,,5,1
of.159358,大成中证A500ETF,2024-11-22,,5,1
of.159359,华安中证A500ETF,2024-11-19,,5,1
of.159360,天弘中证A500ETF,2024-11-20,,5,1
of.159361,易方达中证A500ETF,2024-11-12,,5,1
of.159362,工银中证A500ETF,2024-11-19,,5,1
of.159363,华宝创业板人工智能ETF,2024-12-06,,5,1
of.159367,华夏创业板50ETF,2025-01-24,,5,1
of.159368,华夏创业板新能源ETF,2025-03-14,,5,1
of.159370,工银瑞信创业板50ETF,2025-01-10,,5,1
of.159371,富国创业板50ETF,2025-01-24,,5,1
of.159373,嘉实创业板50ETF,2025-01-23,,5,1
of.159375,国泰创业板50ETF,2024-12-30,,5,1
of.159376,浦银安盛中证A500ETF,2024-12-30,,5,1
of.159378,永赢国证通用航空产业ETF,2025-01-02,,5,1
of.159379,融通中证A500ETF,2025-01-09,,5,1
of.159380,A500ETF东财,2024-12-30,,5,1
of.159381,华夏创业板人工智能ETF,2025-03-14,,5,1
of.159383,华泰柏瑞创业板50ETF,2025-02-05,,5,1
of.159386,永赢中证A500ETF,2025-01-24,,5,1
of.159388,国泰创业板人工智能ETF,2025-03-26,,5,1
of.159390,国联中证A50ETF,2025-03-26,,5,1
of.159393,万家沪深300ETF,2025-02-25,,5,1
of.159395,大成深证基准做市信用债ETF,2025-01-16,,5,1
of.159396,博时深证基准做市信用债ETF,2025-01-16,,5,1
of.159397,广发深证基准做市信用债ETF,2025-01-22,,5,1
of.159398,天弘深证基准做市信用债ETF,2025-01-21,,5,1
of.159399,国泰富时中国A股自由现金流聚焦ETF,2025-02-19,,5,1
of.159501,嘉实纳斯达克100ETF(QDII),2023-05-31,,5,1
of.159502,嘉实标普生物科技精选行业ETF(QDII),2023-12-26,,5,1
of.159503,鹏扬国证财富管理ETF,2023-06-29,2024-07-19,5,0
of.159505,博时国证2000ETF,2023-11-23,,5,1
